C Code,D code
SUAML-----*****,11106000000
SUAML-----*****,11070000000
SUGPUULC--*****,201121070000
SUGPUCFT--*****,101305000000
SUGPIME----****,201103000000
SUGPUSA---*****,101105000000
SUGPEVC---*****,111101000000
SUGPUCFT--*****,101212000000
OUVPS-----*****,101215000000
SUGPEWRL--*****,151102000000
SUGPEWRL--*****,151102010000
SUPEWRH---*****,151102020000
SUPEWRH---*****,151102030000
SUGPEWRR--*****,151101010000
,151118000000
,151119000000
,151118000000
SUGPUCR---*****,101213000000
SUGPIG----*****,111200000000
,111101000000
OUVPM-----*****,111105000000
OUVPM-----*****,111106000000
EUIPB-----*****,111107000000
OUOPS-----*****,111108000000
SUGPEW----*****,151100000000
,151201070000
EUOPAE----*****,151402000000
EUOPAE----*****,151404000000
SUGPIRP---*****,151409000000
EUOPCD----*****,151410000000
SUGPEVT---*****,151502000000
SUGPUUSRW-*****,152001000000
OUVPB-----*****,152002000000
GUMPOB----*****,152004000000
,152006000000
EUFPC-----*****,152005000000
EUOPAF----*****,152015010000
SUAPMFFI--*****,152009000000
EUFPEA----*****,152007000000
IUAPSRF---*****,152008000000
OUOPU-----****,103400000000
SUGPUSS---*****,152012000000
SUGPUSS---*****,152014000000
SUGPEXM---*****,152100000000
GUMPOMT---*****,152103000000
SUGPEXM---*****,152101000000
SUGPEVEB--*****,151302000000
SUGPUCEN--*****,151307000000
SUGPUCEN--*****,151307010000
SUGPEVEE--*****,151308010000
SUGPEVEB--*****,151303000000
SUGPEVEB--*****,151304000000
SUGPEVEB--*****,151305000000
SUGPEVEM--*****,151310010000
OUOPM-----*****,151310000000
EUFP------*****,201200000000
EUFPA-----*****,201201000000
EUFPAA----*****,201201010000
EUFPAC----*****,201201030000
EUFP------*****,201202040000
SUGPIRP---*****,201205040000
SUGPIX----*****,201207000000
EUFPK-----*****,201212020000
SUGPUSSW--*****,201214000000
EUFPMI----*****,201214110000
EUOPDK----*****,201121080000
OULPM-----*****,201111000000
OUOPYW----*****,201116000000
SUGPIR----*****,201112000000
OUIPR-----*****,201119010000
EUFPKB----*****,101101000000
SUGPUUSMN-*****,101100000000
OULP------*****,101103000000
SUGPUU----*****,101104000000
OUPPA-----*****,101105000000
SUGPUCR---*****,101213000000
SUGPUUSR--*****,101107000000
SUGPUUSRT-*****,101109000000
SUGPUUSRW-*****,101108000000
OUOPYT----*****,101110500000
OUOPYT----*****,101112000000
SUGPUUSRS-*****,101111000000
SUGPUCFH--*****,101300000000
SUGPUUM---*****,101500000000
,101501000000
,
SUGPUUMSED*****,101503000000
SUGPUUMSEI*****,101506000000
OUOPF-----*****,101511000000
SUGPUUMSEJ*****,101508000000
SUGPES----*****,101512000000
EUFPLA----*****,101202000000
SUGPUCFSS-*****,101201000000
SUGPUCATW-*****,101203000000
SUGPEWR---*****,101210000000
SUGPUCFHX-*****,101211010000
SUGPEWDH--*****,101211030000
SUGPEWDH--*****,101211030000
SUGPUCRO--*****,101213010000
,101215000000
SUGPUCRX--*****,101216000000
SUGPUH----*****,101800000000
,101801000000
SUGPUUSO,101802000000
SUGPUCS---*****,101803000000
SUGPUH----*****,101804000000
SUGPIBN---*****,101700000000
SUGPIBN---*****,101701000000
SUGPUUACCM*****,101401020000
SUGPUUACCK*****,101401010000
SUGPUUACR-*****,101401030000
SUGPUUACRS*****,101401040000
SUGPUUABR-*****,101401050000
SUUPND-----****,101404000000
SUGPEVS---*****,101405000000
SUGPUCEN--*****,101406000000
SUGPUCEN--*****,101409000000
,101411000000
SUGPEXM---*****,101413000000
SUGPEVEA--*****,101414000000
SUGPEVEML-*****,101415000000
OUOPM-----*****,101416000000
,101421000000
SUGPUSS---*****,101602000000
SUGPIME---*****,101604000000
,101605000000
,101605010000
,101612000000
SUGPUSS---*****,101617000000
SUGPUSS1--*****,101618000000
SUGPUSS2--*****,101619000000
SUGPUSS3--*****,101620000000
SUGPUSS4--*****,101621000000
SUGPUSS5--*****,101622000000
,101626000000
SUGPUSAO--*****,101627000000
SUGPUSS---*****,101634000000
SUGPUSS2--*****,101638000000
SUGPUSS3--*****,101639000000
SUGPUSS5--*****,101641000000
SUGPEVC---*****,351200000000
SUUPSU----*****,351202000000
,351400000000
,351500000000
,351600000000
,351100000000
SUUPND----*****,351105000000
,
,
SUGPEXI---*****,351302000000
SUGPEVC---*****,301400000000
SUSPXP----*****,301406000000
,301401150000
SUSPNM----*****,301401160000
,301401140000
SUSPXFDR--*****,301401030000
SUSPXMC---*****,301401020000
SUSPXM----*****,301401060000
,301401080000
,301600000000
,301700000000
SUSPCALA--*****,301203030000
SUSPCALA--*****,301203050000
SUSPCALA--*****,301203040000
SUSPG-----*****,301203010000
SUSPCALS--*****,301203060000
SUSPCUM---*****,301204050000
SUSPCUM---*****,301204030000
,301211000000
SUSPXAS---*****,301208000000
SUSPXAR---*****,301208010000
SUSPCLFF--*****,201202050000
SUSPNF----*****,301301000000
,301301010000
SUSPNF----*****,301301030000
SUSPXMC---*****,301301080000
SUSPNF----*****,301301090000
SUSPN-----*****,301301050000
SUSPXMO---*****,301301100000
SUSPNF----*****,301301060000
SUSPXMTU--*****,301301130000
SUSPXMC---*****,301302020000
SUSPXMC---*****,301302010000
SUSPCPSUT-*****,301302040000
SUSPXMTU--*****,301302030000
SUAP------*****,10000000000
SUAP------*****,11100000000
SUAPM-----*****,11100000000
SUAPMF----*****,11101000000
SUAPMFO---*****,11101010000
SUAPMFA---*****,11101020000
SUAPMFB---*****,11101030000
SUAPMFF---*****,11101040000
SUAPMFFI--*****,11101060000
SUAPMFC---*****,11101070000
SUAPMFCL--*****,11101070003
SUAPMFCM--*****,11101070002
SUAPMFCH--*****,11101070001
SUAPMFJ---*****,11101080000
SUAPMFK---*****,11101090000
SUAPMFKB--*****,11101090004
SUAPMFKD--*****,11101090005
SUAPMFP---*****,11101100000
SUAPMFR---*****,11101110000
SUAPMFT---*****,11101120000
SUAPMFU---*****,11101130000
SUAPMFUL--*****,11101130003
SUAPMFUM--*****,11101130002
SUAPMFUH--*****,11101130001
SUAPMFL---*****,11101140000
SUAPMFD---*****,11101150000
SUAPMFRW--*****,11101160000
SUAPMFPN--*****,11101170000
SUAPMFS---*****,11101180000
SUAPMFY---*****,11101190000
SUAPMFH---*****,11101200000
SUAPMFRZ--*****,11101210000
SUAPMFPM--*****,11101230000
SUAPMFM---*****,11101260000
SUAPMFRX--*****,11101280000
SUAPMV----*****,11101290000
SUAPME----*****,11101320000
SUAPMH----*****,11102000000
SUAPMHA---*****,11102000100
SUAPMHS---*****,11102003200
SUAPMHU---*****,11102000700
SUAPMHUL--*****,11102000703
SUAPMHUM--*****,11102000702
SUAPMHUH--*****,11102000701
SUAPMHI---*****,11102002500
SUAPMHH---*****,11102003000
SUAPMHR---*****,11102001800
SUAPMHC---*****,11102000300
SUAPMHCL--*****,11102000303
SUAPMHCM--*****,11102000302
SUAPMHCH--*****,11102000301
SUAPMHT---*****,11102001900
SUAPMHO---*****,11102001400
SUAPMHM---*****,11102002700
SUAPMHD---*****,11102001100
SUAPMHK---*****,11102000600
SUAPMHJ---*****,11102001600
SUAPMFQ---*****,11103000000
SUAPMFQA--*****,11103000100
SUAPMFQB--*****,11103000200
SUAPMFQC--*****,11103000300
SUAPMFQD--*****,11103001100
SUAPMFQRW-*****,11103001200
SUAPMFQF--*****,11103000400
SUAPMFQH--*****,11103003000
SUAPMFQJ--*****,11103001600
SUAPMFQRZ-*****,11103002400
SUAPMFQK--*****,11103000600
SUAPMFQL--*****,11103000800
SUAPMFQM--*****,11103002700
SUAPMFQI--*****,11103002500
SUAPMFQN--*****,11103003200
SUAPMFQP--*****,11103001700
SUAPMFQR--*****,11103001800
SUAPMFQRX-*****,11103002000
SUAPMFQS--*****,11103002200
SUAPMFQT--*****,11103001900
SUAPMFQU--*****,11103000700
SUAPMFQY--*****,11103002300
SUAPMFQO--*****,11103001400
SUAPMHQ---*****,11104000000
SUAPML----*****,11105000000
SUAPC-----*****,11200000000
SUAPCF----*****,11201000000
SUAPCH----*****,11202000000
SUAPCL----*****,11204000000
SUAPW-----*****,11300000000
SUAPWB----*****,11301000000
SUAPWD----*****,11302000000
SUAPWM----*****,21100000000
SUAPWM----*****,21100000005
SUAPWMS---*****,21100000205
SUAPWMSB--*****,21100000500
SUAPWMSS--*****,21100000202
SUAPWMSA--*****,21100000201
SUAPWMSU--*****,21100000203
SUAPWMA---*****,21100000105
SUAPWMAS--*****,21100000102
SUAPWMAA--*****,21100000101
SUAPWMAP--*****,21100000104
SUAPWMU---*****,21100000302
SUAPWMCM--*****,21100000706
SUAPWMB---*****,21100000606
SUPP------*****,51100000000
SUPPS-----*****,51107000000
SUPPT-----*****,51116000000
SUPPL-----*****,51119000000
SUFPGC----*****,101102000000
SUFPGP----*****,101106000000
SUGPUUS---*****,101110000000
SUGPUUSA--*****,101110000200
SUGPUUSC--*****,101110001100
SUGPUUSO--*****,101110004900
SUGPUUSF--*****,101110002700
SUGPUUSM--*****,101110003600
SUGPUUSS--*****,101110007700
